Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",GDP (current US$) [NY.GDP.MKTP.CD]
2017,YR2017,Vanuatu,VUT,276244,862879789.390161
2017,YR2017,"Venezuela, RB",VEN,31977065,..
2017,YR2017,Vietnam,VNM,95540800,223863996354.655
2017,YR2017,Virgin Islands (U.S.),VIR,107268,..
2017,YR2017,West Bank and Gaza,PSE,4684777,14498100000
2017,YR2017,"Yemen, Rep.",YEM,28250420,..
2017,YR2017,Zambia,ZMB,17094130,25808666421.5558
2017,YR2017,Zimbabwe,ZWE,16529904,17845821400
2017,YR2017,Arab World,ARB,414491886,2591047461124.41
2017,YR2017,Caribbean small states,CSS,7284294,69331419650.596
2017,YR2017,Central Europe and the Baltics,CEB,102727102,1450746635299.76
2017,YR2017,Early-demographic dividend,EAR,3213426923,11249356756765.5
2017,YR2017,East Asia & Pacific,EAS,2314364990,23999250748656.8
2017,YR2017,East Asia & Pacific (excluding high income),EAP,2068308373,14742323722128.8
2017,YR2017,East Asia & Pacific (IDA & IBRD countries),TEA,2042783496,14713972097356.6
2017,YR2017,Euro area,EMU,341465149,12589497164004.3
2017,YR2017,Europe & Central Asia,ECS,915545801,21438519189821.4
2017,YR2017,Europe & Central Asia (excluding high income),ECA,415546194,3300500740186.92
2017,YR2017,Europe & Central Asia (IDA & IBRD countries),TEC,457647735,3879859485679.2
2017,YR2017,European Union,EUU,512461290,17277697660475
2017,YR2017,Fragile and conflict affected situations,FCS,511336623,830726810714.623
2017,YR2017,Heavily indebted poor countries (HIPC),HPC,765112280,728774036366.636
2017,YR2017,High income,HIC,1249066228,51475414395949.6
2017,YR2017,IBRD only,IBD,4743263932,28648517074135.9
2017,YR2017,IDA & IBRD total,IBT,6353204601,30741796092143.4
2017,YR2017,IDA blend,IDB,533023458,915342329873.435
2017,YR2017,IDA only,IDX,1076917211,1186015013019.41
2017,YR2017,IDA total,IDA,1609940669,2099617258914.78
2017,YR2017,Late-demographic dividend,LTE,2278227192,20452879964143.3
2017,YR2017,Latin America & Caribbean,LCN,644137666,5954671133086.38
2017,YR2017,Latin America & Caribbean (excluding high income),LAC,568136842,4723050473503.12
2017,YR2017,Latin America & the Caribbean (IDA & IBRD countries),TLA,628059792,5704712973686.92
2017,YR2017,Least developed countries: UN classification,LDC,1002485957,1062642922681
2017,YR2017,Low & middle income,LMY,6281293921,29236806913808
2017,YR2017,Low income,LIC,732448558,549653601217.708
2017,YR2017,Lower middle income,LMC,2972642807,6504155258937.75
2017,YR2017,Middle East & North Africa,MEA,444322417,3265746599469.31
2017,YR2017,Middle East & North Africa (excluding high income),MNA,379901782,1431747940489.4
2017,YR2017,Middle East & North Africa (IDA & IBRD countries),TMN,375217005,1417009559961.62
2017,YR2017,Middle income,MIC,5548845363,28682698960994.9
2017,YR2017,North America,NAC,362492702,21049975179140.2
2017,YR2017,Not classified,INX,..,..
2017,YR2017,OECD members,OED,1300865255,49626408983606.3
2017,YR2017,Other small states,OSS,30621014,402189384321.193
2017,YR2017,Pacific island small states,PSS,2419188,9687357498.96905
2017,YR2017,Post-demographic dividend,PST,1107374909,47087043342548.2
2017,YR2017,Pre-demographic dividend,PRE,904399841,1297071888211.81
2017,YR2017,Small states,SST,40324496,481208161470.758
2017,YR2017,South Asia,SAS,1788388852,3291737801056.16
2017,YR2017,South Asia (IDA & IBRD),TSA,1788388852,3291737801056.16
2017,YR2017,Sub-Saharan Africa,SSF,1061107721,1648713664105.39
2017,YR2017,Sub-Saharan Africa (excluding high income),SSA,1061011878,1647227850147.94
2017,YR2017,Sub-Saharan Africa (IDA & IBRD countries),TSS,1061107721,1648713664105.39
2017,YR2017,Upper middle income,UMC,2576202556,22168418709051.6
2017,YR2017,World,WLD,7530360149,80683787437857.8
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 10/18/2018,,,,,
